step_uid,case_external_id,step_number,step_action_raw,step_expected_raw,mapped_keyword_id,mapping_confidence,mapping_notes,mapping_status
CCU-230705-1,CCU-230705,1,1.面板電源開啟,面板ＭＩＣ亮燈,,,,unmapped
CCU-230566-1,CCU-230566,1,1.點擊面板藍牙按鈕,面板語音輸出ＩＤ給使用者,,,,unmapped
CCU-230567-1,CCU-230567,1,1.查看ＡＰＰ,APP 上面出現廣播的 ID,,,,unmapped
CCU-230568-1,CCU-230568,1,1.點擊 APP 上面的 ID,面板語音提示需要按下面板的藍牙按鈕兩下,,,,unmapped
CCU-230767-1,CCU-230767,1,1.寧聽面板語音,面板語音說： 目前有一部智慧型手機正在請求透過藍牙與控制面板配對,,,,unmapped
CCU-230766-1,CCU-230766,1,1.檢查面板,藍牙指示燈必須閃爍得更快,,,,unmapped
CCU-230706-1,CCU-230706,1,1.查看手機,APP 出現倒數30秒,,,,unmapped
CCU-230569-1,CCU-230569,1,1.點擊面版藍牙按鈕兩下,APP 出現主頁,,,,unmapped
CCU-230574-1,CCU-230574,1,1.點選APP頁面的Done,APP進入主頁,,,,unmapped
CCU-230570-1,CCU-230570,1,1.查看手機,APP 出現控制頁面,,,,unmapped
CCU-230575-1,CCU-230575,1,1.手機APP正長開啟,畫面成功顯示著畫面或合約頁,,,,unmapped
CCU-230576-1,CCU-230576,1,1.面板電源開啟,面板ＭＩＣ亮燈,,,,unmapped
CCU-230577-1,CCU-230577,1,1.點選面板藍牙按鈕,面板發出回應提示,,,,unmapped
CCU-230580-1,CCU-230580,1,1.點選面板藍牙按鈕兩次,APP進入主頁,,,,unmapped
CCU-230707-1,CCU-230707,1,1.點擊 Disconnect 2.點擊 Cancel,返回 APP,,,,unmapped
CCU-230708-1,CCU-230708,1,1.點擊 Disconnect 2.點擊 Disconnect,APP 與面板斷線,,,,unmapped
CCU-230709-1,CCU-230709,1,1.APP 滑掉,APP 關閉,,,,unmapped
CCU-230710-1,CCU-230710,1,1.APP 開啟,自動連回,,,,unmapped
CCU-230711-1,CCU-230711,1,查看 APP,APP 出現控制頁面,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-230712-1,CCU-230712,1,1.查看 APP,手機 APP 在控制頁面,,,,unmapped
CCU-230713-1,CCU-230713,1,1.手機 APP 遠離面板,APP 斷線,,,,unmapped
CCU-230714-1,CCU-230714,1,1.APP 回來面板附近,APP 自動連回面板,,,,unmapped
CCU-230715-1,CCU-230715,1,1.查看 APP,APP 出現控制頁面,,,,unmapped
CCU-230716-1,CCU-230716,1,1.查看手機 APP 背景,背景確認有執行 APP,,,,unmapped
CCU-230717-1,CCU-230717,1,1.手機 APP 遠離面板,APP 斷線,,,,unmapped
CCU-230718-1,CCU-230718,1,1.APP 回來面板附近（將背景 APP 變回使用中）,APP 自動連回面板,,,,unmapped
CCU-230720-1,CCU-230720,1,1.查看 APP,APP 出現控制頁面,,,,unmapped
CCU-230721-1,CCU-230721,1,1.APP 滑掉,APP 關閉,,,,unmapped
CCU-230722-1,CCU-230722,1,1.APP 開啟,自動連回,,,,unmapped
CCU-230723-1,CCU-230723,1,1.查看 APP,原面板為開機無法連回,,,,unmapped
CCU-230724-1,CCU-230724,1,APP 顯示其他有在廣播的面板,APP 出現其他可點選的 ID,,,,unmapped
CCU-230725-1,CCU-230725,1,1.查看ＡＰＰ,APP 上面出現廣播的 ID,,,,unmapped
CCU-230726-1,CCU-230726,1,1.點擊 APP 上面的 ID,面板語音提示需要按下面板的藍牙按鈕兩下,,,,unmapped
CCU-230768-1,CCU-230768,1,1.寧聽面板語音,面板語音說： 目前有一部智慧型手機正在請求透過藍牙與控制面板配對,,,,unmapped
CCU-230769-1,CCU-230769,1,1.檢查面板,藍牙指示燈必須閃爍得更快,,,,unmapped
CCU-230727-1,CCU-230727,1,1.查看手機,APP 出現倒數30秒,,,,unmapped
CCU-230770-1,CCU-230770,1,1.點擊面版藍牙按鈕兩下,APP 出現主頁,,,,unmapped
CCU-230729-1,CCU-230729,1,1.點選APP頁面的Done,APP進入主頁,,,,unmapped
CCU-230730-1,CCU-230730,1,1.查看手機,APP 出現控制頁面,,,,unmapped
CCU-230735-1,CCU-230735,1,1.查看手機,APP 出現控制頁面,,,,unmapped
CCU-230731-1,CCU-230731,1,1.點選面板藍牙按鈕10秒,APP 斷線,,,,unmapped
CCU-230736-1,CCU-230736,1,1.查看手機,APP 出現控制頁面,,,,unmapped
CCU-230732-1,CCU-230732,1,1.點選面板藍牙按鈕10秒,重置面板,,,,unmapped
CCU-230737-1,CCU-230737,1,1.查看手機,APP 出現控制頁面,,,,unmapped
CCU-230733-1,CCU-230733,1,1.點選面板藍牙按鈕10秒,pin密碼重置,,,,unmapped
CCU-230738-1,CCU-230738,1,1.查看手機,APP 出現控制頁面,,,,unmapped
CCU-230734-1,CCU-230734,1,1.點選面板藍牙按鈕10秒,面板上的藍牙會關閉廣播,,,,unmapped
CCU-230739-1,CCU-230739,1,1.查看手機,APP 出現控制頁面,,,,unmapped
CCU-230740-1,CCU-230740,1,1.將 APP 滑掉,APP 關閉,,,,unmapped
CCU-230741-1,CCU-230741,1,1.等待面板藍牙燈號,藍牙燈號變為白燈,,,,unmapped
CCU-230742-1,CCU-230742,1,1.點選面板藍牙按鈕10秒,重置面板,,,,unmapped
CCU-230760-1,CCU-230760,1,1.查看手機,APP 出現控制頁面,,,,unmapped
CCU-230761-1,CCU-230761,1,1.設定使用馬達的密碼,設定好馬達密碼,,,,unmapped
CCU-230762-1,CCU-230762,1,1.點選任意馬達,跳出需要輸入密碼,,,,unmapped
CCU-230763-1,CCU-230763,1,1.點選 i forgot my password,顯示提示按面板藍牙按鈕 3 秒,,,,unmapped
CCU-230763-2,CCU-230763,2,,,,,,unmapped
CCU-230764-1,CCU-230764,1,1.點擊面板藍牙按鈕 3 秒,APP 顯示請使用新密碼解鎖,,,,unmapped
CCU-230765-1,CCU-230765,1,1.使用新密碼,馬達可使用,,,,unmapped
CCU-230747-1,CCU-230747,1,1.查看手機,APP 出現控制頁面,,,,unmapped
CCU-230748-1,CCU-230748,1,1. 藍牙配對成功 將名稱改名為 年份版本（例如：2026CW06C),名稱更改成功,,,,unmapped
CCU-230749-1,CCU-230749,1,1.在藍牙模式下點擊 Disconnect 斷線,藍牙模式斷線,,,,unmapped
CCU-230750-1,CCU-230750,1,1.APP 連接模式選擇 Remote 連接,出現年份版本的名稱,,,,unmapped
CCU-230751-1,CCU-230751,1,1.點擊 Settings,進入Settings 頁面,,,,unmapped
CCU-230752-1,CCU-230752,1,1.點擊 Forget RV Panel,Remote 斷線,,,,unmapped
CCU-230859-1,CCU-230859,1,1.面板電源開啟,面板ＭＩＣ亮燈,,,,unmapped
CCU-230860-1,CCU-230860,1,1.點擊面板藍牙按鈕,面板語音輸出ＩＤ給使用者,,,,unmapped
CCU-230862-1,CCU-230862,1,1.查看ＡＰＰ,APP 上面出現廣播的 ID,,,,unmapped
CCU-230863-1,CCU-230863,1,1.點擊 APP 上面的 ID,面板語音提示需要按下面板的藍牙按鈕兩下,,,,unmapped
CCU-230864-1,CCU-230864,1,1.寧聽面板語音,面板語音說： 目前有一部智慧型手機正在請求透過藍牙與控制面板配對,,,,unmapped
CCU-230865-1,CCU-230865,1,1.檢查面板,藍牙指示燈必須閃爍得更快,,,,unmapped
CCU-230866-1,CCU-230866,1,1.查看手機,APP 出現倒數30秒,,,,unmapped
CCU-230867-1,CCU-230867,1,1.查看手機,等待30秒過時,,,,unmapped
CCU-230868-1,CCU-230868,1,1.查看手機,返回 APP 出現廣播 ID 的畫面,,,,unmapped
CCU-230756-1,CCU-230756,1,1.查看手機,APP 出現控制頁面,,,,unmapped
CCU-230759-1,CCU-230759,1,1.APP 滑掉,APP 關閉,,,,unmapped
CCU-230753-1,CCU-230753,1,1.長按面板藍牙按鈕 10 秒,Android 重置,,,,unmapped
CCU-230757-1,CCU-230757,1,1.查看手機,APP 出現控制頁面,,,,unmapped
CCU-230754-1,CCU-230754,1,1.長按面板藍牙按鈕 10 秒,iOS 斷線,,,,unmapped
CCU-230758-1,CCU-230758,1,1.查看手機,APP 出現控制頁面,,,,unmapped
CCU-230755-1,CCU-230755,1,1.長按面板藍牙按鈕 10 秒,iOS 重置,,,,unmapped
CCU-119-1,CCU-119,1,開啟 RV 控制 App (iOS 或 Android)。,1. App 應在合理時間內成功連接至 RV 系統。 2. App 主介面應正確顯示，無明顯錯誤或崩潰。 3. 應能看到 RV 系統的基本狀態 (例如連線成功圖示)。,,,,unmapped
CCU-119-2,CCU-119,2,觀察 App 是否能成功連接到 RV 系統。,1. App 應在合理時間內成功連接至 RV 系統。 2. App 主介面應正確顯示，無明顯錯誤或崩潰。 3. 應能看到 RV 系統的基本狀態 (例如連線成功圖示)。,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-119-3,CCU-119,3,檢查 App 主介面是否正常載入並顯示基本控制項或狀態資訊。,1. App 應在合理時間內成功連接至 RV 系統。 2. App 主介面應正確顯示，無明顯錯誤或崩潰。 3. 應能看到 RV 系統的基本狀態 (例如連線成功圖示)。,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-120-1,CCU-120,1,透過 App 導航至主燈控制項。,1. 主燈應能被 App 成功開啟和關閉。 2. App 上的燈光狀態應與實際狀態一致。 3. 操作反應應及時。,,,,unmapped
CCU-120-2,CCU-120,2,點擊「開啟」主燈。,1. 主燈應能被 App 成功開啟和關閉。 2. App 上的燈光狀態應與實際狀態一致。 3. 操作反應應及時。,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-120-3,CCU-120,3,觀察主燈實際是否亮起，及 App 狀態是否更新。,1. 主燈應能被 App 成功開啟和關閉。 2. App 上的燈光狀態應與實際狀態一致。 3. 操作反應應及時。,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-120-4,CCU-120,4,點擊「關閉」主燈。,1. 主燈應能被 App 成功開啟和關閉。 2. App 上的燈光狀態應與實際狀態一致。 3. 操作反應應及時。,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-120-5,CCU-120,5,觀察主燈實際是否熄滅，及 App 狀態是否更新。,1. 主燈應能被 App 成功開啟和關閉。 2. App 上的燈光狀態應與實際狀態一致。 3. 操作反應應及時。,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-121-1,CCU-121,1,透過 App 導航至延伸車架控制。,1. 延伸車架電機應能響應 App 的短時展開和收回指令並有相應動作。 2. App 應能發出停止指令使電機停止。,,,,unmapped
CCU-121-2,CCU-121,2,短暫點擊 (例如1-2秒後立即停止)「展開」按鈕。,1. 延伸車架電機應能響應 App 的短時展開和收回指令並有相應動作。 2. App 應能發出停止指令使電機停止。,,,,unmapped
CCU-121-3,CCU-121,3,觀察延伸車架電機是否啟動並有輕微移動。,1. 延伸車架電機應能響應 App 的短時展開和收回指令並有相應動作。 2. App 應能發出停止指令使電機停止。,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-121-4,CCU-121,4,短暫點擊「收回」按鈕。,1. 延伸車架電機應能響應 App 的短時展開和收回指令並有相應動作。 2. App 應能發出停止指令使電機停止。,,,,unmapped
CCU-121-5,CCU-121,5,觀察延伸車架電機是否反向啟動並有輕微移動。,1. 延伸車架電機應能響應 App 的短時展開和收回指令並有相應動作。 2. App 應能發出停止指令使電機停止。,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-122-1,CCU-122,1,透過 App 導航至延伸車架控制。,1. 延伸車架電機應能響應 App 的短時展開和收回指令並有相應動作。 2. App 應能發出停止指令使電機停止。,,,,unmapped
CCU-122-2,CCU-122,2,短暫點擊 (例如1-2秒後立即停止)「展開」按鈕。,1. 延伸車架電機應能響應 App 的短時展開和收回指令並有相應動作。 2. App 應能發出停止指令使電機停止。,,,,unmapped
CCU-122-3,CCU-122,3,觀察延伸車架電機是否啟動並有輕微移動。,1. 延伸車架電機應能響應 App 的短時展開和收回指令並有相應動作。 2. App 應能發出停止指令使電機停止。,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-122-4,CCU-122,4,短暫點擊「收回」按鈕。,1. 延伸車架電機應能響應 App 的短時展開和收回指令並有相應動作。 2. App 應能發出停止指令使電機停止。,,,,unmapped
CCU-122-5,CCU-122,5,觀察延伸車架電機是否反向啟動並有輕微移動。,1. 延伸車架電機應能響應 App 的短時展開和收回指令並有相應動作。 2. App 應能發出停止指令使電機停止。,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231033-1,CCU-231033,1,透過 App 導航至延伸車架控制。,1. 延伸車架電機應能響應 App 的短時展開和收回指令並有相應動作。 2. App 應能發出停止指令使電機停止。,,,,unmapped
CCU-231033-2,CCU-231033,2,長壓點擊 (例如3-5秒放開 立即停止)「展開」按鈕。,1. 延伸車架電機應能響應 App 的長時展開和收回指令並有相應動作。 2. App 應能放開後發出停止指令使電機停止。,,,,unmapped
CCU-231033-3,CCU-231033,3,觀察延伸車架電機是否啟動並如長壓時間移動。,1. 延伸車架電機應能響應 App 的長時展開和收回指令並有相應動作。 2. App 應能放開後發出停止指令使電機停止。,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231033-5,CCU-231033,5,長壓「收回」按鈕。,1. 延伸車架電機應能響應 App 的長時展開和收回指令並有相應動作。 2. App 應能放開後發出停止指令使電機停止。,,,,unmapped
CCU-231033-6,CCU-231033,6,觀察延伸車架電機是否反向啟動並如長壓時間移動。,1. 延伸車架電機應能響應 App 的長時展開和收回指令並有相應動作。 2. App 應能放開後發出停止指令使電機停止。,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231034-1,CCU-231034,1,透過 App 導航至延伸車架控制。,1. 延伸車架電機應能響應 App 的長時展開和收回指令並有相應動作。 2. App 應能放開後發出停止指令使電機停止。,,,,unmapped
CCU-231034-2,CCU-231034,2,長壓點擊 (例如3-5秒放開 立即停止)「展開」按鈕。,1. 延伸車架電機應能響應 App 的長時展開和收回指令並有相應動作。 2. App 應能放開後發出停止指令使電機停止。,,,,unmapped
CCU-231034-3,CCU-231034,3,長壓點擊 (例如3-5秒放開 立即停止)「展開」按鈕。,1. 延伸車架電機應能響應 App 的長時展開和收回指令並有相應動作。 2. App 應能放開後發出停止指令使電機停止。,,,,unmapped
CCU-231034-4,CCU-231034,4,長壓「收回」按鈕。,1. 延伸車架電機應能響應 App 的長時展開和收回指令並有相應動作。 2. App 應能放開後發出停止指令使電機停止。,,,,unmapped
CCU-231034-5,CCU-231034,5,觀察延伸車架電機是否反向啟動並如長壓時間移動。,1. 延伸車架電機應能響應 App 的長時展開和收回指令並有相應動作。 2. App 應能放開後發出停止指令使電機停止。,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-230479-1,CCU-230479,1,點擊語音命令,切換到語音命令頁面,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-230479-2,CCU-230479,2,"voice command : ""turn on all lights""",所有燈開啟正常,,,,unmapped
CCU-231208-1,CCU-231208,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測橘色線路放進水瓶中,APP FRESH 水位在高,,,,unmapped
CCU-231209-1,CCU-231209,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測綠色線路放進水瓶中,APP FRESH 水位在中,,,,unmapped
CCU-231210-1,CCU-231210,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測黃色線路放進水瓶中,APP FRESH 水位在低,,,,unmapped
CCU-231289-1,CCU-231289,1,1.實體線路操作水位偵測地線放入水瓶中,APP FRESH 水位是空的顯示 [ empty ],,,,unmapped
CCU-231328-1,CCU-231328,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測橘色線路放進水瓶中,APP GRAY_1 水位在高 顯示 Full,,,,unmapped
CCU-231211-1,CCU-231211,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測橘色線路放進水瓶中,APP GRAY_1 水位在高,,,,unmapped
CCU-231212-1,CCU-231212,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測綠色線路放進水瓶中,APP GRAY_1 水位在中,,,,unmapped
CCU-231213-1,CCU-231213,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測黃色線路放進水瓶中,APP GRAY_1 水位在低,,,,unmapped
CCU-231329-1,CCU-231329,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測橘色線路放進水瓶中,APP GRAY_1 水位在高 顯示 Full,,,,unmapped
CCU-231214-1,CCU-231214,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測橘色線路放進水瓶中,APP BLACK_1 水位在高,,,,unmapped
CCU-231215-1,CCU-231215,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測綠色線路放進水瓶中,APP BLACK_1 水位在中,,,,unmapped
CCU-231216-1,CCU-231216,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測黃色線路放進水瓶中,APP BLACK_1 水位在低,,,,unmapped
CCU-231330-1,CCU-231330,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測橘色線路放進水瓶中,APP GRAY_1 水位在高 顯示 Full,,,,unmapped
CCU-231217-1,CCU-231217,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測橘色線路放進水瓶中,APP GRAY_2 水位在高,,,,unmapped
CCU-231218-1,CCU-231218,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測綠色線路放進水瓶中,APP GRAY_2 水位在中,,,,unmapped
CCU-231219-1,CCU-231219,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測黃色線路放進水瓶中,APP GRAY_2 水位在低,,,,unmapped
CCU-231331-1,CCU-231331,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測橘色線路放進水瓶中,APP GRAY_1 水位在高 顯示 Full,,,,unmapped
CCU-231220-1,CCU-231220,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測橘色線路放進水瓶中,APP GRAY_3 水位在高,,,,unmapped
CCU-231221-1,CCU-231221,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測綠色線路放進水瓶中,APP GRAY_3 水位在中,,,,unmapped
CCU-231222-1,CCU-231222,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測黃色線路放進水瓶中,APP GRAY_3 水位在低,,,,unmapped
CCU-231332-1,CCU-231332,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測橘色線路放進水瓶中,APP GRAY_1 水位在高 顯示 Full,,,,unmapped
CCU-231223-1,CCU-231223,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測橘色線路放進水瓶中,APP BLACK_2 水位在高,,,,unmapped
CCU-231224-1,CCU-231224,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測綠色線路放進水瓶中,APP BLACK_2 水位在中,,,,unmapped
CCU-231225-1,CCU-231225,1,1.實體線路操作水位偵測地線放入水瓶中 2.實體線路操作水位偵測黃色線路放進水瓶中,APP BLACK_2 水位在低,,,,unmapped
CCU-210-1,CCU-210,1,開啟 RV 控制 App (iOS 或 Android)。,1. App 應在合理時間內成功連接至 RV 系統。 2. App 主介面應正確顯示，無明顯錯誤或崩潰。 3. 應能看到 RV 系統的基本狀態 (例如連線成功圖示)。,,,,unmapped
CCU-210-2,CCU-210,2,觀察 App 是否能成功連接到 RV 系統。,1. App 應在合理時間內成功連接至 RV 系統。 2. App 主介面應正確顯示，無明顯錯誤或崩潰。 3. 應能看到 RV 系統的基本狀態 (例如連線成功圖示)。,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-210-3,CCU-210,3,檢查 App 主介面是否正常載入並顯示基本控制項或狀態資訊。,1. App 應在合理時間內成功連接至 RV 系統。 2. App 主介面應正確顯示，無明顯錯誤或崩潰。 3. 應能看到 RV 系統的基本狀態 (例如連線成功圖示)。,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-211-1,CCU-211,1,透過 App 導航至主燈控制項。,1. 主燈應能被 App 成功開啟和關閉。 2. App 上的燈光狀態應與實際狀態一致。 3. 操作反應應及時。,,,,unmapped
CCU-211-2,CCU-211,2,點擊「開啟」主燈。,1. 主燈應能被 App 成功開啟和關閉。 2. App 上的燈光狀態應與實際狀態一致。 3. 操作反應應及時。,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-211-3,CCU-211,3,觀察主燈實際是否亮起，及 App 狀態是否更新。,1. 主燈應能被 App 成功開啟和關閉。 2. App 上的燈光狀態應與實際狀態一致。 3. 操作反應應及時。,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-211-4,CCU-211,4,點擊「關閉」主燈。,1. 主燈應能被 App 成功開啟和關閉。 2. App 上的燈光狀態應與實際狀態一致。 3. 操作反應應及時。,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-211-5,CCU-211,5,觀察主燈實際是否熄滅，及 App 狀態是否更新。,1. 主燈應能被 App 成功開啟和關閉。 2. App 上的燈光狀態應與實際狀態一致。 3. 操作反應應及時。,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-230480-1,CCU-230480,1,點擊語音命令,切換到語音命令頁面,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-230480-2,CCU-230480,2,"voice command : ""turn on all lights""",所有燈開啟正常,,,,unmapped
CCU-231122-1,CCU-231122,1,點擊允許,進入下一步,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231123-1,CCU-231123,1,點擊拒絕,進入下一步,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231124-1,CCU-231124,1,點擊使用應用程式時,進入下一步,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231125-1,CCU-231125,1,點擊僅允許這一次,進入下一步,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231126-1,CCU-231126,1,點擊不允許,進入下一步,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231127-1,CCU-231127,1,點擊允許,進入下一步,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231128-1,CCU-231128,1,點擊不允許,進入下一步,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231129-1,CCU-231129,1,查看 APP,出現隱私權政策,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231130-1,CCU-231130,1,點擊 APP 隱私權政策 的 Privacy Policy,隱私權政策 有可以點擊的 Privacy Policy,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
